EVENT_ID,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,INJURIES_INDIRECT,DEATHS_INDIRECT,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
5537085,BIRMINGHAM,1/26/1996,1400,0,0,75000,0,0,0,1/26/1996,1800, , , , 
5546537,TARRANT,3/6/1996,730,0,0,65000,0,0,0,3/6/1996,730, , , , 
5554625,BESSEMER,5/28/1996,1500,0,0,15000,0,0,0,5/28/1996,1700, , , , 
5550967,BIRMINGPORT,6/19/1996,1400,0,0,10000,0,0,0,6/19/1996,1500, , , , 
5581419,CENTERPOINT,12/12/1996,1450,0,0,7000,0,0,0,12/12/1996,1515, , , , 
5628445,COUNTYWIDE,1/7/1998,930,0,0,40000,5000,0,0,1/7/1998,1400, , , , 
5706194,BIRMINGHAM,6/2/1999,1230,0,0,15000,0,0,0,6/2/1999,1330, , , , 
5706374,BIRMINGHAM,6/14/1999,1730,0,0,500000,0,0,0,6/14/1999,1930, , , , 
5706457,LEEDS,6/28/1999,1030,0,0,300000,0,0,0,6/28/1999,1330, , , , 
5138279,BIRMINGHAM,3/10/2000,2115,0,0,2000000,0,0,0,3/11/2000,300, , , , 
5138698,BIRMINGHAM,3/19/2000,1500,0,0,15000,0,0,0,3/19/2000,1900, , , , 
5163387,COUNTYWIDE,7/20/2000,1628,0,0,65000,0,0,0,7/20/2000,1735, , , , 
5242267,COUNTYWIDE,4/3/2001,1430,0,0,30000,0,0,0,4/3/2001,2000, , , , 
5262761,BIRMINGHAM,8/31/2001,1700,0,0,40000,0,0,0,8/31/2001,1900, , , , 
5293143,COUNTYWIDE,4/30/2002,1500,0,0,50000,0,0,0,4/30/2002,1900, , , , 
5306521,BIRMINGHAM,7/11/2002,1830,0,0,4000,0,0,0,7/11/2002,1930, , , , 
5306523,COUNTYWIDE,7/12/2002,1825,0,0,25000,0,0,0,7/12/2002,2200, , , , 
5315840,COUNTYWIDE,9/22/2002,300,0,0,5800000,0,0,0,9/22/2002,900, , , , 
5361595,COUNTYWIDE,5/5/2003,2030,0,0,25000,0,0,0,5/5/2003,2345, , , , 
5360713,COUNTYWIDE,5/7/2003,1545,0,0,1000000000,0,0,0,5/8/2003,500, , , , 
5361399,COUNTYWIDE,5/16/2003,1550,0,0,95000,0,0,0,5/16/2003,1700, , , , 
5361194,COUNTYWIDE,5/18/2003,800,0,0,17000,0,0,0,5/18/2003,1100, , , , 
5369727,HOOVER,6/17/2003,1630,0,0,40000,0,0,0,6/17/2003,1800, , , , 
5376300,COUNTYWIDE,7/1/2003,1300,0,0,12000,0,0,0,7/1/2003,1700, , , , 
5368456,COUNTYWIDE,8/3/2003,1700,0,0,35000,0,0,0,8/3/2003,1800, , , , 
5368516,HOOVER,8/18/2003,1515,0,0,25000,0,0,0,8/18/2003,1630, , , , 
5386627,WARRIOR,2/5/2004,2320,0,0,8000,0,0,0,2/5/2004,2359, , , , 
